"1"" PIPE HP",Mtr
"1"" X 90 DEG ELBOW",Nos
"1"" X 45DEG ELBOW",Nos
"1"" END CAP",Nos
"1"" X 1/2"" FEMALE REDUCER",Nos
"1"" X 1/2"" FEMALE TEE",Nos
TEFLON TAPE,Roll
"PVC HP MALE ADAPTOR 1"" - ATLAS",Nos
"2"" MALE ADAPTOR HP",Nos
"1 X 1/2"" PIPE HP",Mtr
"PVC FEM. TEE 1X1/2"" ATLAS",Nos
"1 X 1/2"" REDUCER HP",Nos
"1 X 1/2"" ELBOW 45DEG HP",Nos
"1 X 1/2"" ELBOW 90 DEG HP",Nos
"2"" X 11/2"" REDUCER HP",Nos
PVC GLUE - FOR CONDUIT,Tin/Bottle
"1 X 1/2"" END CAP HP",Nos
"1"" UNION",Nos
"1"" TEE HP",Nos
Heavy duty extension cord 30M Reel type,Nos (Reel)
Line dori,Nos
Heavy duty hand shovel,Nos
Spirit level 60cm Stanley,Nos
Spirit level 30cm Stanley,Nos
Spirit level 1m 100cm Stanley,Nos
"Wire nail 3"" 15kgs/box",Nos
"Concrete nail 2""",Nos
"3""concrete nail",Nos
"Paint brush 3""",Nos
"Paint brush 4""",Nos
"Paint roller 9""with handle",Nos
"Paint roller 4""with handle",Nos
Knife 18mm,Nos
Aluminum tube 100×50×3mm 6m,Nos
Wheel borrow L/D,Nos
Hand gloves blue dotted (25dzn/box),Nos
PLASTIC ROLL 1000G,Nos
Karandi medium,Nos
"Masking tape 2""",Roll
Marker Permanent 12pcs,Nos
Cleaning brush hard,Nos
"Coconut brush 12"" size",Nos
"Coconut brush 18"" size",Nos
Noora brush HD,Nos
Pvc gurmala HD,Nos
"Steel cutting disk 4.5""*3mm 50pcs box",Nos
Water hose pipe 1/2 *50meter,Mtr
Carpenter hammer,Nos
Sledge hammer 2lbs,Nos
Tape meter 5 m,Roll
Carpenter Pencil 144pcs/box,Nos
Warning tape,Roll
Safety goggles black,Nos
Plywood 18mm Marine,Nos
First AID kit 25person,Nos
"Industrial pedestal fan 18""",Nos
Right angle 60cm,Nos
Right angle 30cm,Nos
Measuring tape 30m fiber closed type,Roll
